Day|Food Name|Amount|Energy (kcal)|Alcohol (g)|Caffeine (mg)|Water (g)|B1 (Thiamine) (mg)|B2 (Riboflavin) (mg)|B3 (Niacin) (mg)|B5 (Pantothenic Acid) (mg)|B6 (Pyridoxine) (mg)|B12 (Cobalamin) (µg)|Folate (µg)|Vitamin A (IU)|Vitamin C (mg)|Vitamin D (IU)|Vitamin E (mg)|Vitamin K (µg)|Calcium (mg)|Copper (mg)|Iron (mg)|Magnesium (mg)|Manganese (mg)|Phosphorus (mg)|Potassium (mg)|Selenium (µg)|Sodium (mg)|Zinc (mg)|Carbs (g)|Fiber (g)|Starch (g)|Sugars (g)|Net Carbs (g)|Fat (g)|Cholesterol (mg)|Monounsaturated (g)|Polyunsaturated (g)|Saturated (g)|Trans-Fats (g)|Omega-3 (g)|Omega-6 (g)|Cystine (g)|Histidine (g)|Isoleucine (g)|Leucine (g)|Lysine (g)|Methionine (g)|Phenylalanine (g)|Protein (g)|Threonine (g)|Tryptophan (g)|Tyrosine (g)|Valine (g)|Category
11/15/2020|Butternut Squash|100.00 g|40|0|0|87.8|0.07|0.02|0.97|0.36|0.12|0|19|11155|15.1|0|1.29|1|41|0.07|0.6|29|0.17|27|284|0.5|4|0.13|10.49|3.2|2.66|1.97|7.29|0.09|0|0.01|0.04|0.02|0|0.02|0.01|0.01|0.02|0.04|0.05|0.03|0.01|0.04|0.9|0.03|0.01|0.03|0.04|Vegetables
11/15/2020|Cabbage, Green, Raw|100.00 g|25|0|0|92.18|0.06|0.04|0.23|0.21|0.12|0|43|98|36.6|0|0.15|76|40|0.02|0.47|12|0.16|26|170|0.3|18|0.18|5.8|2.24|0|3.2|3.56|0.1|0|0.02|0.02|0.03|0|0|0|0.01|0.02|0.03|0.04|0.04|0.01|0.03|1.28|0.04|0.01|0.02|0.04|Vegetables
11/15/2020|Cabbage, Red, Raw|100.00 g|31|0|0|90.39|0.06|0.07|0.42|0.15|0.21|0|18|1116|57|0|0.07|38.2|45|0.02|0.8|16|0.24|30|243|0.6|27|0.22|7.37|2.1|0|3.83|5.26|0.16|0|0.01|0.08|0.02|0|0.05|0|0.01|0.02|0.03|0.05|0.05|0.01|0.04|1.43|0.04|0.01|0.02|0.05|Vegetables
11/15/2020|Carrots, Raw|100.00 g|41|0|0|88.29|0.07|0.06|0.98|0.27|0.14|0|19|16706|5.9|0|0.86|8.3|33|0.05|0.3|12|0.14|35|320|0.1|69|0.24|9.58|2.8|1.43|4.74|6.56|0.24|0|0.01|0.1|0.03|0|0|0|0.08|0.04|0.08|0.1|0.1|0.02|0.06|0.93|0.19|0.01|0.04|0.07|Vegetables
11/15/2020|Cauliflower, Raw|100.00 g|25|0|0|92.07|0.05|0.06|0.51|0.67|0.18|0|57|0|48.2|0|0.08|15.5|22|0.04|0.42|15|0.16|44|299|0.6|30|0.27|4.97|2|0.36|1.91|2.91|0.28|0|0.03|0.03|0.13|0|0.02|0.01|0.02|0.06|0.07|0.11|0.22|0.02|0.07|1.92|0.08|0.02|0.05|0.13|Vegetables
11/15/2020|Celery, Raw|100.00 g|14|0|0|95.43|0.02|0.06|0.32|0.25|0.07|0|36|449|3.1|0|0.26|29|40|0.04|0.2|11|0.1|24|260|0.4|80|0.13|2.97|1.6|0|1.34|0.88|0.17|0|0.03|0.08|0.04|0|0|0|0|0.01|0.02|0.03|0.03|0.01|0.02|0.69|0.02|0.01|0.01|0.03|Vegetables
11/15/2020|Chard, Swiss, Raw|100.00 g|19|||92.66|0.04|0.09|0.4|0.17|0.1||14|6116|30||1.89|830|51|0.18|1.8|81|0.37|46|379|0.9|213|0.36|3.74|1.6|1.04|1.1|2.14|0.2||0.04|0.07|0.03||0.01|0.06||0.04|0.15|0.13|0.1|0.02|0.11|1.8|0.08|0.02||0.11|Vegetables
11/15/2020|Chives, Raw|100.00 g|30|0|0|90.65|0.08|0.11|0.65|0.32|0.14|0|105|4353|58.1|0|0.21|212.7|92|0.16|1.6|42|0.37|58|296|0.9|3|0.56|4.35|2.5|0|1|1.85|0.73|0|0.1|0.27|0.15|0|0.02|0|0.05|0.06|0.14|0.2|0.16|0.04|0.11|3.27|0.13|0.04|0.1|0.15|Vegetables
11/15/2020|Collards, Raw|100.00 g|32|0|0|89.62|0.05|0.13|0.74|0.27|0.17|0|129|5019|35.3|0|2.26|437.1|232|0.05|0.47|27|0.66|25|213|1.3|17|0.21|5.42|4|0.96|0.46|1.36|0.61|0|0.03|0.2|0.06|0|0.11|0.07|0.03|0.05|0.1|0.15|0.12|0.03|0.09|3.02|0.09|0.03|0.07|0.12|Vegetables
11/15/2020|Corn, Yellow, Canned, Drained|100.00 g|67|0|0|81.41|0.04|0.09|1.01|0.21|0.04|0|39|46|1.8|0|0.09|0|3|0.03|0.27|13|0.07|46|132|0.6|205|0.32|14.34|2|8.06|4.44|12.3|1.22|0|0.37|0.52|0.25|0|0.02|0.14|0.04|0.06|0.07|0.29|0.22|0.05|0.11|2.29|0.07|0.02|0.09|0.11|Vegetables
11/15/2020|Cucumber, Raw, With Peel|100.00 g|15|0|0|95.23|0.03|0.03|0.1|0.26|0.04|0|7|105|2.8|0|0.03|16.4|16|0.04|0.28|13|0.08|24|147|0.3|2|0.2|3.63|1.14|0.83|1.67|2.38|0.11|0|0.01|0.03|0.04|0|0.01|0.03|0|0.01|0.02|0.03|0.03|0.01|0.02|0.65|0.02|0.01|0.01|0.02|Vegetables
11/15/2020|Eggplant, Raw|100.00 g|25|0|0|92.3|0.04|0.04|0.65|0.28|0.08|0|22|23|2.2|0|0.3|3.5|9|0.08|0.23|14|0.23|24|229|0.3|2|0.16|5.88|3|0.24|3.53|2.76|0.18|0|0.02|0.08|0.03|0|0.01|0|0.01|0.02|0.05|0.06|0.05|0.01|0.04|0.98|0.04|0.01|0.03|0.05|Vegetables
11/15/2020|Endive, Curly, Raw|100.00 g|17|0|0|93.79|0.08|0.08|0.4|0.9|0.02|0|142|2167|6.5|0|0.44|231|52|0.1|0.83|15|0.42|28|314|0.2|22|0.79|3.35|3.1|0|0.25|0.2|0.2|0|0|0.09|0.05|0|0.01|0|0.01|0.02|0.07|0.1|0.06|0.01|0.05|1.25|0.05|0.01|0.04|0.06|Vegetables
11/15/2020|Green Beans, Raw|100.00 g|31|0|0|90.32|0.08|0.1|0.73|0.23|0.14|0|33|690|12.2|0|0.41|43|37|0.07|1.03|25|0.22|38|211|0.6|6|0.24|6.97|2.7|0.88|3.26|4.16|0.22|0|0.01|0.11|0.05|0|0.07|0|0.02|0.03|0.07|0.11|0.09|0.02|0.07|1.83|0.08|0.02|0.04|0.09|Vegetables
11/15/2020|Green Peas, Cooked from Frozen|100.00 g|78|0|0|79.52|0.28|0.1|1.48|0.14|0.11|0|59|2100|9.9|0|0.03|24|24|0.11|1.52|22|0.28|77|110|1|72|0.67|14.26|4.5|3.9|4.4|9.65|0.27|0|0.02|0.13|0.05|0|0.02|0|0.03|0.1|0.19|0.31|0.3|0.08|0.19|5.15|0.19|0.04|0.11|0.22|Vegetables
11/15/2020|Lettuce, Iceberg|100.00 g|14|0|0|95.64|0.04|0.03|0.12|0.09|0.04|0|29|502|2.8|0|0.22|24.1|18|0.03|0.41|7|0.13|20|141|0.1|10|0.15|2.97|1.2|0|1.97|1.75|0.14|0|0.01|0.07|0.02|0|0.05|0|0.01|0.01|0.02|0.03|0.02|0.01|0.02|0.9|0.03|0.01|0.01|0.02|Vegetables
11/15/2020|Kale, Raw|100.00 g|35|0|0|89.63|0.11|0.35|1.18|0.37|0.15|0|62|4812|93.4|0|0.66|389.6|254|0.05|1.6|33|0.92|55|348|0.9|53|0.39|4.42|4.1|0|0.99|0.23|1.49|0|0.1|0.67|0.18|0|0.38|0.29|0.04|0.17|0.18|0.2|0.18|0.03|0.15|2.92|0.13|0.04|0.1|0.16|Vegetables
11/15/2020|Leeks, Raw|100.00 g|61|0|0|83|0.06|0.03|0.4|0.14|0.23|0|64|1667|12|0|0.92|47|59|0.12|2.1|28|0.48|35|180|1|20|0.12|14.15|1.8|1.15|3.9|12.01|0.3|0|0|0.17|0.04|0|0.1|0|0.03|0.03|0.05|0.1|0.08|0.02|0.06|1.5|0.06|0.01|0.04|0.06|Vegetables
11/15/2020|Lettuce, Romaine or Cos|100.00 g|17|0|0|94.61|0.07|0.07|0.31|0.14|0.07|0|136|8710|4|0|0.13|102.5|33|0.05|0.97|14|0.16|30|247|0.4|8|0.23|3.29|2.1|0|1.19|1.17|0.3|0|0.01|0.16|0.04|0|0.11|0|0.01|0.02|0.05|0.08|0.06|0.02|0.07|1.23|0.04|0.01|0.03|0.06|Vegetables
11/15/2020|Mushrooms, Raw|100.00 g|22|0|0|92.45|0.08|0.4|3.61|1.5|0.1|0.04|17|0|2.1|7|0.01|0|3|0.32|0.5|9|0.05|86|318|9.3|5|0.52|3.26|1|0.59|1.98|1.47|0.34|0|0|0.16|0.05|0|0|0.16|0.01|0.06|0.08|0.12|0.11|0.03|0.09|3.09|0.11|0.04|0.04|0.23|Vegetables
11/15/2020|Mustard Greens, Raw|100.00 g|27|0|0|90.7|0.08|0.11|0.8|0.21|0.18|0|12|3024|70|0|2.01|257.5|115|0.17|1.64|32|0.48|58|384|0.9|20|0.25|4.67|3.2|0.15|1.32|1.45|0.42|0|0.09|0.04|0.01|0|0.02|0.02|0.04|0.05|0.1|0.08|0.12|0.03|0.07|2.86|0.07|0.03|0.14|0.11|Vegetables
11/15/2020|Okra, Raw|100.00 g|33|0|0|89.58|0.2|0.06|1|0.25|0.22|0|60|716|23|0|0.27|31.3|82|0.11|0.62|57|0.79|61|299|0.7|7|0.58|7.45|3.2|0.34|1.48|4.22|0.19|0|0.02|0.03|0.03|0|0|0.03|0.02|0.03|0.07|0.11|0.08|0.02|0.07|1.93|0.07|0.02|0.09|0.09|Vegetables
11/15/2020|Onion, White, Yellow or Red, Raw|100.00 g|40|0|0|89.11|0.05|0.03|0.12|0.12|0.12|0|19|2|7.4|0|0.02|0.4|23|0.04|0.21|10|0.13|29|146|0.5|4|0.17|9.34|1.46|0|4.24|7.73|0.1|0|0.01|0.02|0.04|0|0|0|0|0.01|0.01|0.03|0.04|0|0.03|1.1|0.02|0.01|0.01|0.02|Vegetables
11/15/2020|Parsley, Fresh|100.00 g|36|0|0|87.71|0.09|0.1|1.31|0.4|0.09|0|152|8424|133|0|0.75|1640|138|0.15|6.2|50|0.16|58|554|0.1|56|1.07|6.33|3.3|0.4|0.85|2.97|0.79|0|0.3|0.12|0.13|0|0.01|0|0.01|0.06|0.12|0.2|0.18|0.04|0.15|2.97|0.12|0.05|0.08|0.17|Vegetables
11/15/2020|Red Bell Peppers, Raw|100.00 g|26|0|0|92.21|0.05|0.09|0.98|0.32|0.29|0|46|3131|127.7|0|1.58|4.9|7|0.02|0.43|12|0.11|26|211|0.1|4|0.25|6.03|2.1|0|4.2|3.85|0.3|0|0.01|0.16|0.06|0|0.06|0|0.02|0.02|0.02|0.04|0.04|0.01|0.05|0.99|0.04|0.01|0.01|0.03|Vegetables
11/15/2020|Potato, Boiled with Skin|100.00 g|76|0|0|78.04|0.07|0.06|1.31|0.51|0.29|0|5|12|12|0|0.06|0.53|21|0.17|1.65|30|0.28|77|564|0.3|6|0.81|17.9|2.4|13.04|0.98|15.5|0.1|0|0|0.04|0.03|0|0.01|0|0.02|0.04|0.07|0.1|0.1|0.03|0.07|1.6|0.06|0.03|0.06|0.09|Vegetables
11/15/2020|Pumpkin, Raw|100.00 g|26|||91.6|0.05|0.11|0.6|0.3|0.06||16|8513|9||1.06|1.1|21|0.13|0.8|12|0.13|44|340|0.3|1|0.32|6.5|0.5|3.24|2.76|6|0.1||0.01|0|0.05||0|0|0|0.02|0.03|0.05|0.05|0.01|0.03|1|0.03|0.01|0.04|0.04|Vegetables
11/15/2020|Radish, Raw|100.00 g|16|0|0|95.27|0.01|0.04|0.25|0.17|0.07|0|25|7|14.8|0|0|1.4|25|0.05|0.34|10|0.07|20|233|0.6|39|0.28|3.4|1.6|0|1.86|1.69|0.1|0|0.02|0.05|0.03|0|0.03|0|0.01|0.01|0.02|0.03|0.03|0.01|0.04|0.68|0.02|0.01|0.01|0.04|Vegetables
11/15/2020|Scallions or Spring Onions, Tops and Bulb, Raw|100.00 g|32|0|0|89.83|0.06|0.08|0.53|0.08|0.06|0|64|997|18.8|0|0.55|207|72|0.08|1.48|20|0.16|37|276|0.6|16|0.39|7.34|2.6|0.26|3.13|4.59|0.19|0|0.03|0.07|0.03|0|0|0|0.03|0.03|0.08|0.11|0.09|0.02|0.06|1.83|0.07|0.02|0.05|0.08|Vegetables
11/15/2020|Spinach, Raw|100.00 g|23|0|0|91.4|0.08|0.19|0.72|0.07|0.2|0|194|9377|28.1|0|1.96|482.9|99|0.13|2.71|79|0.9|49|558|1|79|0.53|3.63|2.2|0.1|0.42|1.41|0.39|0|0.01|0.17|0.06|0|0.14|0|0.04|0.06|0.15|0.22|0.17|0.05|0.13|2.86|0.12|0.04|0.11|0.16|Vegetables
11/15/2020|Sweet Potato, Baked|100.00 g|90|0|0|75.78|0.11|0.11|1.49|0.88|0.29|0|6|19218|19.6|0|0.71|2.3|38|0.16|0.69|27|0.5|54|475|0.2|36|0.32|20.71|3.3|7.05|6.48|17.32|0.15|0|0|0.09|0.05|0|0|0|0.03|0.04|0.07|0.12|0.08|0.04|0.11|2.01|0.11|0.04|0.04|0.11|Vegetables
11/15/2020|Taro, Dasheen, Root, Baked|100.00 g|142|0|0|63.8|0.11|0.03|0.51|0.34|0.33|0|19|84|5|0|2.93|1.2|18|0.2|0.72|30|0.45|76|484|0.9|15|0.27|34.6|5.1|25.76|0.49|29.37|0.11|0|0.01|0.05|0.02|0|0.01|0|0.01|0.01|0.02|0.04|0.02|0.01|0.03|0.52|0.02|0.01|0.02|0.03|Vegetables
11/15/2020|Tomato Raw, Includes Cherry, Grape, Roma|100.00 g|18|0|0|94.52|0.04|0.02|0.59|0.09|0.08|0|15|833|13.7|0|0.54|7.9|10|0.06|0.27|11|0.11|24|237|0|5|0.17|3.89|1.2|0|2.63|2.57|0.2|0|0.03|0.08|0.03|0|0|0|0.01|0.01|0.02|0.03|0.03|0.01|0.03|0.88|0.03|0.01|0.01|0.02|Vegetables
11/15/2020|Turnip, Raw|100.00 g|28|0|0|91.87|0.04|0.03|0.4|0.2|0.09|0|15|0|21|0|0.03|0.1|30|0.09|0.3|11|0.13|27|191|0.7|67|0.27|6.43|1.8|0.18|3.8|4.57|0.1|0|0.01|0.05|0.01|0|0.04|0|0.01|0.01|0.04|0.03|0.04|0.01|0.02|0.9|0.03|0.01|0.01|0.03|Vegetables
11/15/2020|Turnip Greens, Raw|100.00 g|32|0|0|89.67|0.07|0.1|0.6|0.38|0.26|0|194|11587|60|0|2.86|251|190|0.35|1.1|31|0.47|42|296|1.2|40|0.19|7.13|3.2|3.12|0.81|3.89|0.3|0|0.02|0.12|0.07|0|0.08|0.03|0.02|0.04|0.08|0.14|0.1|0.03|0.09|1.5|0.08|0.03|0.06|0.1|Vegetables
11/15/2020|Watercress, Raw|100.00 g|11|0|0|95.11|0.09|0.12|0.2|0.31|0.13|0|9|3191|43|0|1|250|120|0.08|0.2|21|0.24|60|330|0.9|41|0.11|1.29|0.5|0.1|0.2|0.79|0.1|0|0.01|0.04|0.03|0|0.02|0|0.01|0.04|0.09|0.17|0.13|0.02|0.11|2.3|0.13|0.03|0.06|0.14|Vegetables
11/15/2020|Zucchini, Raw|100.00 g|17|0|0|94.79|0.05|0.09|0.45|0.2|0.16|0|24|200|17.9|0|0.12|4.3|16|0.05|0.37|18|0.18|38|261|0.2|8|0.32|3.11|1|0|2.5|2.06|0.32|0|0.01|0.09|0.08|0|0.06|0.03|0.01|0.03|0.04|0.07|0.07|0.02|0.04|1.21|0.03|0.01|0.03|0.05|Vegetables
11/15/2020|Apple, Fresh, With Skin|100.00 g|52|0|0|85.56|0.02|0.03|0.09|0.06|0.04|0|3|54|4.6|0|0.21|2.2|6|0.03|0.12|5|0.04|11|107|0|1|0.04|13.81|2.4|0.05|10.39|10.6|0.17|0|0.01|0.05|0.03|0|0.01|0.04|0|0.01|0.01|0.01|0.01|0|0.01|0.26|0.01|0|0|0.01|Fruits
11/15/2020|Apricot, Fresh|100.00 g|48|0|0|86.35|0.03|0.04|0.6|0.24|0.05|0|9|1926|10|0|0.89|3.3|13|0.08|0.39|10|0.08|23|259|0.1|1|0.2|11.12|2|0|9.24|8.77|0.39|0|0.17|0.08|0.03|0|0|0.08|0|0.03|0.04|0.08|0.1|0.01|0.05|1.4|0.05|0.02|0.03|0.05|Fruits
11/15/2020|Hass Avocado|100.00 g|167|0|0|72.33|0.08|0.14|1.91|1.46|0.29|0|89|147|8.8|0|1.93|21|13|0.17|0.61|29|0.15|54|507|0.4|8|0.68|8.64|6.8|0.11|0.3|1.79|15.41|0|9.8|1.82|2.13|0|0.11|1.69|0.03|0.05|0.08|0.14|0.13|0.04|0.1|1.96|0.07|0.03|0.05|0.11|Fruits
11/15/2020|Avocat, Cru, Floride|100.00 g|120|0|0|78.81|0.02|0.05|0.67|0.93|0.08|0|35|140|17.4|0|2.66|21|10|0.31|0.17|24|0.1|40|351|0.4|2|0.4|7.82|5.6|0|2.42|2.17|10.06|0|5.51|1.68|1.96|0|0.09|1.59|0.03|0.06|0.09|0.16|0.15|0.04|0.11|2.23|0.08|0.03|0.05|0.12|Fruits
11/15/2020|Banana, Fresh|100.00 g|89|0|0|74.91|0.03|0.07|0.67|0.33|0.37|0|20|64|8.7|0|0.13|0.5|5|0.08|0.26|27|0.27|22|358|1|1|0.15|22.84|2.6|5.38|12.23|20.23|0.33|0|0.03|0.07|0.11|0|0.03|0.05|0.01|0.08|0.03|0.07|0.05|0.01|0.05|1.09|0.03|0.01|0.01|0.05|Fruits
11/15/2020|Blackberries, Fresh|100.00 g|43|0|0|88.15|0.02|0.03|0.65|0.28|0.03|0|25|214|21|0|1.43|19.8|29|0.17|0.62|20|0.65|22|162|0.4|1|0.53|9.61|5.3|0|4.88|4.23|0.49|0|0.05|0.28|0.01|0|0.09|0.19|0|0|0|0|0|0|0|1.39|0.01|0|0|0.01|Fruits
11/15/2020|Blueberries, Fresh|100.00 g|57|0|0|84.21|0.04|0.04|0.42|0.12|0.05|0|6|54|9.7|0|0.58|19.3|6|0.06|0.28|6|0.34|12|77|0.1|1|0.16|14.49|2.4|0.03|9.96|12.09|0.33|0|0.05|0.15|0.03|0|0.06|0.09|0.01|0.01|0.02|0.04|0.01|0.01|0.03|0.74|0.02|0|0.01|0.03|Fruits
11/15/2020|Cantaloupe, Fresh|100.00 g|34|0|0|90.15|0.04|0.02|0.73|0.11|0.07|0|21|3382|36.7|0|0.06|2.5|9|0.04|0.21|12|0.04|15|267|0.4|16|0.18|8.16|0.9|0.03|7.86|6.9|0.19|0|0|0.08|0.05|0|0.05|0.04|0|0.02|0.02|0.03|0.03|0.01|0.02|0.84|0.02|0|0.01|0.03|Fruits
11/15/2020|Sweet Cherries, Fresh|100.00 g|63|0|0|82.25|0.03|0.03|0.15|0.2|0.05|0|4|64|7|0|0.06|2.1|13|0.06|0.36|11|0.07|21|222|0|0|0.07|16.01|2.1|0|12.82|11.8|0.2|0|0.05|0.05|0.04|0|0|0.03|0.01|0.02|0.02|0.03|0.03|0.01|0.02|1.06|0.02|0.01|0.01|0.02|Fruits
11/15/2020|Dates, Fresh|100.00 g|124|0|0|64.51|0.06|0.07|0.7|0.21|0.12|0|25|3|14|0|0.01|0.7|24|0.12|0.3|24|0.2|28|410|1|7|0.2|33.1|1.8|0|31.3|31.23|0.1|0|0.01|0.01|0.01|0|0|0|0.04|0.02|0.03|0.05|0.04|0.01|0.03|1.5|0.03|0.01|0.01|0.04|Fruits
11/15/2020|Figs, Fresh|100.00 g|74|0|0|79.11|0.06|0.05|0.4|0.3|0.11|0|6|142|2|0|0.11|4.7|35|0.07|0.37|17|0.13|14|232|0.2|1|0.15|19.18|2.9|0|16.26|16.25|0.3|0|0.07|0.14|0.06|0|0|0.14|0.01|0.01|0.02|0.03|0.03|0.01|0.02|0.75|0.02|0.01|0.03|0.03|Fruits
11/15/2020|Gooseberries, Fresh|100.00 g|44|0|0|87.87|0.04|0.03|0.3|0.29|0.08|0|6|161|27.7|0|0.37|1.5|25|0.07|0.31|10|0.14|27|198|0.6|1|0.12|10.18|4.3|0|5.4|5.88|0.58|0|0.05|0.32|0.04|0|0.03|0.27|0|0|0|0|0|0|0|0.88|0|0|0|0|Fruits
11/15/2020|Grapefruit, Fresh, Pink or Red|100.00 g|42|0|0|88.06|0.04|0.03|0.2|0.26|0.05|0|13|1150|31.2|0|0.16|0|22|0.03|0.08|9|0.02|18|135|0.1|0|0.07|10.66|1.6|0|6.89|8.86|0.14|0|0.02|0.04|0.02|0|0.01|0.03|0.01|0.01|0.01|0.02|0.02|0.01|0.01|0.77|0.01|0.01|0.01|0.02|Fruits
11/15/2020|Grapes, Fresh|100.00 g|69|0|0|80.54|0.07|0.07|0.19|0.05|0.09|0|2|66|3.2|0|0.38|14.6|10|0.13|0.36|7|0.07|20|191|0.1|2|0.07|18.1|0.9|0|15.48|17.07|0.16|0|0.01|0.05|0.05|0|0.01|0.04|0.01|0.02|0.01|0.02|0.03|0.01|0.02|0.72|0.02|0.01|0.01|0.02|Fruits
11/15/2020|Guayaba, Fresh, Common|100.00 g|68|0|0|80.8|0.07|0.04|1.08|0.45|0.11|0|49|624|228.3|0|0.73|2.6|18|0.23|0.26|22|0.15|40|417|0.6|2|0.23|14.32|5.4|0.16|8.92|8.86|0.95|0|0.09|0.4|0.27|0|0.11|0.29||0.02|0.09|0.17|0.07|0.02|0.01|2.55|0.1|0.02|0.03|0.09|Fruits
11/15/2020|Honeydew Melon, Fresh|100.00 g|36.00|0.00|0.00|89.82|0.04|0.01|0.42|0.16|0.09|0.00|19.00|50.00|18.00|0.00|0.03|2.90|6.00|0.02|0.17|10.00|0.03|11.00|228.00|0.70|18.00|0.09|9.09|0.80|0.00|8.12|8.24|0.14|0.00|0.00|0.06|0.04|0.00|0.03|0.03|0.01|0.01|0.01|0.02|0.02|0.01|0.02|0.54|0.01|0.01|0.01|0.02|Fruits
11/15/2020|Jackfruit, Fresh|100.00 g|95|0|0|73.46|0.11|0.06|0.92|0.24|0.33|0|24|110|13.7|0|0.34|0.5|24|0.08|0.23|29|0.04|21|448|0.6|2|0.13|23.25|1.5|1.47|19.08|20.56|0.64|0|0.16|0.09|0.2|0|0.08|0.02|0.02|0.03|0.07|0.1|0.07|0.03|0.05|1.72|0.09|0.03|0.1|0.09|Fruits
